lyft_id,message
1308152786527088878,STOP TEXTING ME.
1187092078389214064,Thx
1063651572210820168,Fuck off Taylor
1314129678829314922,I cant do it anymore i dont have class 5 license
1154571003483234198,Do I need a class 4 license?
1345958944304989028,How do I get a class 4
1342682734463177194,Hi I am not interested right now are you guys going to come to greater Vancouver or not call when you are approved and up running thanks Goran
1318484345653551820,Yes. I dont have any spare time to goo to icbc and get it
1308724422449576592,Pls tell send to where?
1324302693227680676,"Hi Taylor, Im not sure if I'm able to do this year. My car is 2008 model and not qualify for the 10 year requirement. But please send info of what I need ;  to know. "
1335947250424434784,Hi Taylor I tried to download the ride of Lyft app but I made mistake and downloaded driver one!
1093872970964449344,Wrong number sorry
1328047489859197116,"Hi Taylor , I am new to Canada and hold a class 5 driving license for last 2 months,  but have 12 years of driving experience in Qatar , I need to know t ; he process to get class 4 Driving license. Thanks "
1337286845130090676,Hi Taylor. I didn't need help. I changed my mind mid application lol. Sorry. ; Ty Sir!!
1334107159124321258,Actually I want to unsubscribe  Please advise
1325451567973798086,"Taylor, I mistakenly thought I was signing up to Lyft as a rider, not a driver. Can you delete that registration? ; Thanks"
1313516168289999788,Hi Taylor. I don't have one yet. Need to get a class 4 licence.
1335484744599515548,"r requirements it seems ; Hi Taylor, i didnt complete it because my van is a 1995 ford aerostar. It is in near mint condition with only 100,000 kms, but not new enough to meet you ; e willing to do so. If not, no, I do not plan to purchase a new vehicle. I would hope the customers enjoy them as much as i do! ; No. I like older vehicles. My other one is a 1988 nissan 300zx in mint condition. If there is some way to prove the viability of the condition, I would b ; Ok. That is a shame. Everything else is in order. ; ing so. In any event, if you change your policy, feel free to reach out ; I don't know why you wouldnt allow older vehicles in good condition. I would imagine because there are few of them and the safety risks are greater in do ; 👍"
1226094664563730792,Yes need help ; Pls call me on 6042061001
1338033410759515026,"Hi Taylor, Hope doing well, I was wondering can I work part time? Because I have a job now? Second question, My car is 2017 and I went to Nissan a week a ; go and they checked all things, you need more inspections? Thank you Farid ; Ok Sure, Is there any possibility to do inspection for free?! ; No problem, Thanks for your replying ; 👍 ; I will do it before end of November"
1309918701697268174,Ummm we don't have Lyft service in BC.
1307675770608963638,My messenger app cannot open hyperlinks of any kind.  Please email the link.  Thank you.
1307766924000873264,l me at my cell. 6046793010. ; Hi Taylor. I need some help on my global authorization form. My first name is wrong on that form. It should be sandeep instead of Sukhjinder or u can cal
1338414903135602972,Heyy ; Yes ; I already done ; On icbc website
1313854435505160470,Hi Taylor. I am just not comfortable giving out my SIN number to a company that I am just learning about ; Ok. Thank you for texting me. It gives comfort to communicate with a real person
1319131832417247852,Lyft Is not available in my town Chilliwack so I will respond at a later date when it is thank you for your correspondence Taylor
1314102732359281464,"Thanks for yhe message as, i need get the class 4 license as i hv class 5."
1328842209204025590,"Hey, was originally going to sign up but noticed they don't accept the car that I was planning to use"
1342648194355687970,"I'm don't plan on being a driver.  I just wanted to join for future use.  There's no option to get rid of this, frustrating ; I'm not getting any options, cant find settings either even after logging in?? ; Just don't want to get notified about my driver app... just wanted the app for future use.  It's not letting opt out thanks ; STOPALL"
1349555679228862892,"Hi Taylor, can you call me 11.00 am BC time please? Happy to join Lyft. Best Regards, Hendrik ; Class 4 unrestricted"
1340636438955598364,你好 ; commercial driving record has been sent to lyft by email please check.  thank you
1238352010314426980,Hey there. Peter here. ; Hey Chase.
1200040671115065556,Hi Taylor from Lyft. I live on Vancouver island . Is Lyft coming here? I have a class 4 unrestricted licence. That is required. I just need to know if Ly ; ft is coming to Vancouver island . If so I will complete my application. Please let me know. Thank you.
1261348873565979388,I'm not applying to be driver. Sorry for the mistake ; Ok. I was trying to set up the rider option for when it comes available.
1309902857252172094,Hi ; Do i need to upgrade my license. ?
1308643244275012024,STOPALL
1330190320512019008,Away till 10 November. Will finish up when home
614187359980803950,Hey there. I don't only have a class 3 right now so I am trying to figure out what I need to do to get a valid license for lift.
1315531776143881034,"Thanks for the message Taylor. I only have Class 5 driver license and my car is older than 2010. That why, I have problem to work with Lyft. ; Sound good. Taylor.  Guide me please."
1332861361142983376,K
1324027369460794010,"Hi there, I realized my vehicle isn't new enough to be a driver."
1347438548822774490,Sorry wasn't trying to sign up as a driver
1326596914248171930,"Hi Taylor, I am not interested in becoming a driver. I thought I was opening a Lyft profile to use your services when they come to Vancouver."
1348770759005770518,"Thanks Taylor, just looking into the possibilities ; Hmm, not yet ; Yes, class 4, clean abstract ; Ok, done ; Yes, impaired driving like 37 years ago, tough requirements"
1341023352444945134,I will thanks
1344535801193947950,I do not want to be a driver. ; I want rides!!
1078419681715438490,this isn't Jaiden
1106264403886873526,I do not have my class 4 restricted drivers license ; I used to have my restricted class 4 as I was a limousine driver some time a go. Gonna visit motor vehicle branch to find out how to reobtain it
1194087499509985674,Sorry Taylor I figured I miss the class 4 licensing support ; So I don't think I'll be considering this option for the time being ; Thanks for reaching out. Appreciate you.
1343080632739926684,"Hello ...did you receive this? ; I am doing the vehicle inspection on Friday. I have everything Elsa ready. I'll send it on Friday.  Thanks ; No not yet ; Hello ....I already have a background check completed by the Vancouver City Police. I do NOT want to do this again with Sterling. The check was done a we ; ek ago. Please advise ; Yes clear ; "" We are unable to generate CP document at this time"" ; Not sure if what you pay is worth all this aggravation?? ; Well let me know when it resets...nothing I can do on my end. ; I tried again and the message is....""we are unable to generate CP(Canada Post) document at this time"". ; I have tried multiple times....your system has a problem."
1325487990812164826,Hi Taylor. I don't own a vehicle right now and I am waiting for rental vehicles to complete my application.  Cheers  Web
1337058363696116240,Hi
1322177533639293006,Hey
1349268890124235672,Hello can u kindly call me 6048053361 waheed
1305971960784804254,"12551@gmail.com  ; sue. So please my request to you to send me sample copies to my email what actual Document you needed to process my LYFT DRIVER APPLICATION.  Regards. Hm ; the other Taxi company & at present i am working for Kater so i went to Police office again to show my rejection they mention me thats the format they is ; Hey Taylor thankyou for contacting me. I am having trouble sending the Police Check Document's the Right one as per my knowledge thats all needed by all "
1324995768105292302,"Thanks Taylor , as I understand a class 4 license is needed , is there are recommended driving company friends. Lyft ; From ; Ok did you just called ? ; With area code 250?"
1225374966641134572,Hey Taylor.  Focused on getting my commercial license before I complete the application. ; That's the process as I understand it. ; Great.  Will do tonight.
1312743869827236814,"Hi, thamk you, the problem that I don't have class 4"
1168626561920799496,"Which month do you anticipate starting up Lyft?? ; Yes I do, at this point haven't decided if want to drive for rideshare. Maybe once you guys have started service. Thanks"
959620963364018036,Hi. I don't want to be a driver. I want to be a client and am looking forward uo Luft starting up in Vancouver. I got onto the wrong arm of the wesite by ;  mistake. My apologies. Chris  ; Thanks!
1345115919422531808,"ll get in touch with you for filling the application.  Thanks a lot  Sid "
1329196424147677596,"Hi Taylor, are you based in Vancouver? Would like to meet you and have a discussion. As of completing my application, I will attach the required documents. ; Thanks ; Class 4 with air brake endorsement since 5 years"
1315417321353767592,"I don't have a ""Commercial Driving Record"" I'm in process of getting my class 4 Do I need to send a different photo of myself? As it has yet to be approv ; ed? Thanks DR Evans"
1322089433271149430,"Yeah still working on that, you guys accept drivers with class 3,4 right ; I have my class 3 and 4"
977741902209315034,"Hi Taylor ; I haven't bothered getting vehicle inspection done yet because it expired after 12 months. When will lyft be operational in Vancouver, Canada, do you know? ; If I get the inspection done and lyft is not operating for another 6 months it's a waste ; I don't have the time or motivation to invest in a job that doesn't exist. If it did exist or there was some kind of incentive it would be different. Get ; ting a bonus for 70 rides by December 19th is meaningless, there's no guarantee the service is even operational by that time. "
1309053362733560002,I can send you my commercial driving record ; But the issue is to vehicle 🚗 inspection and I have to pay for that ; I will do that if Lyft re-embarrassing me
1001778169153611474,"I will, I just don't have the right license yet."
1322720098096296250,For what
909183598100704700,Ok I will. I was wondering when you guys gonna be on road? Like any specific date??
1349550143800635764,Oky ; no ; no
